"","Year","Commodity","Data","Region","Geo","label","Type","Name","Value"
"15",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","PERMETHRIN","2600"
"16",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","THIAMETHOXAM","(Z)"
"17",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ZETACYPERMETHRIN","800"
"18",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","OTHER","DICHLOROPROPENE","(D)"
"19",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","HERBICIDE","PARAQUAT","(D)"
"20",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ABAMECTIN","(D)"
"21",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BETACYFLUTHRIN","2.3E-2"
"22",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BIFENTHRIN","8.6999999999999994E-2"
"23",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORANTRANILIPROLE","(D)"
"24",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORPYRIFOS","(D)"
"25",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CYFLUTHRIN","(D)"
"26",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","EMAMECTINBENZOATE","1.0999999999999999E-2"
"27",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ESFENVALERATE","4.4999999999999998E-2"
"28",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","IMIDACLOPRID","4.7E-2"
"29",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","LAMBDACYHALOTHRIN","2.8000000000000001E-2"
"30",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","METHOMYL","0.82"
"31",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","NALED","0.93500000000000005"
"32",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","OXYDEMETONMETHYL","(D)"
"33",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","PERMETHRIN","0.182"
"34",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","THIAMETHOXAM","4.1000000000000002E-2"
"35",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ZETACYPERMETHRIN","4.8000000000000001E-2"
"36",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","OTHER","DICHLOROPROPENE","(D)"
"37",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","HERBICIDE","PARAQUAT","(D)"
"38",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ABAMECTIN","(D)"
"39",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BETACYFLUTHRIN","3.2000000000000001E-2"
"40",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BIFENTHRIN","0.107"
"41",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORANTRANILIPROLE","(D)"
"42",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORPYRIFOS","(D)"
"43",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CYFLUTHRIN","(D)"
"44",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","EMAMECTINBENZOATE","1.2999999999999999E-2"
"45",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ESFENVALERATE","5.8000000000000003E-2"
"46",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","IMIDACLOPRID","6.4000000000000001E-2"
"47",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","LAMBDACYHALOTHRIN","3.4000000000000002E-2"
"48",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","METHOMYL","0.84299999999999997"
"49",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","NALED","0.99299999999999999"
"50",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","OXYDEMETONMETHYL","(D)"
"51",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","PERMETHRIN","0.19800000000000001"
"52",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","THIAMETHOXAM","4.2000000000000003E-2"
"53",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ZETACYPERMETHRIN","5.8999999999999997E-2"
"54",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","OTHER","DICHLOROPROPENE","(D)"
"55",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","HERBICIDE","PARAQUAT","(D)"
"56",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ABAMECTIN","(D)"
"57",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BETACYFLUTHRIN","1.4"
"58",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BIFENTHRIN","1.2"
"59",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORANTRANILIPROLE","(D)"
"60",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORPYRIFOS","(D)"
"61",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CYFLUTHRIN","(D)"
"62",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","EMAMECTINBENZOATE","1.1000000000000001"
"63",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ESFENVALERATE","1.3"
"64",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","IMIDACLOPRID","1.4"
"65",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","LAMBDACYHALOTHRIN","1.2"
"66",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","METHOMYL","1"
"67",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","NALED","1.1000000000000001"
"68",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","OXYDEMETONMETHYL","(D)"
"69",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","PERMETHRIN","1.1000000000000001"
"70",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","THIAMETHOXAM","1"
"71",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ZETACYPERMETHRIN","1.2"
"72",2016,"BROCCOLI","BROCCOLI - APPLICATIONS, MEASURED IN NUMBER, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","OTHER","DICHLOROPROPENE","(D)"
"73",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","HERBICIDE","PARAQUAT","(D)"
"74",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ABAMECTIN","(D)"
"75",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BETACYFLUTHRIN","4"
"76",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BIFENTHRIN","13"
"77",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORANTRANILIPROLE","(D)"
"78",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORPYRIFOS","(D)"
"79",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CYFLUTHRIN","(D)"
"80",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","EMAMECTINBENZOATE","1"
"81",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ESFENVALERATE","18"
"82",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","IMIDACLOPRID","4"
"83",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","LAMBDACYHALOTHRIN","19"
"84",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","METHOMYL","1"
"85",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","NALED","5"
"86",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","OXYDEMETONMETHYL","(D)"
"87",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","PERMETHRIN","11"
"88",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","THIAMETHOXAM","1"
"89",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ZETACYPERMETHRIN","10"
"90",2016,"BROCCOLI","BROCCOLI - TREATED, MEASURED IN PCT OF AREA PLANTED, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","OTHER","DICHLOROPROPENE","(D)"
"91",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BETACYFLUTHRIN","(D)"
"92",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BIFENTHRIN","200"
"93",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORANTRANILIPROLE","(D)"
"94",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","EMAMECTINBENZOATE","(D)"
"95",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ESFENVALERATE","400"
"96",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","IMIDACLOPRID","(D)"
"97",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","LAMBDACYHALOTHRIN","200"
"98",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","METHOMYL","300"
"99",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","NALED","(D)"
"100",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","OXYDEMETONMETHYL","(D)"
"101",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","PERMETHRIN","200"
"102",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","THIAMETHOXAM","(D)"
"103",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ZETACYPERMETHRIN","100"
"104",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BETACYFLUTHRIN","(D)"
"105",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BIFENTHRIN","9.6000000000000002E-2"
"106",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","CHLORANTRANILIPROLE","(D)"
"107",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","EMAMECTINBENZOATE","(D)"
"108",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ESFENVALERATE","4.5999999999999999E-2"
"109",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","IMIDACLOPRID","(D)"
"110",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","LAMBDACYHALOTHRIN","2.8000000000000001E-2"
"111",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","METHOMYL","0.54500000000000004"
"112",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","NALED","(D)"
"113",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","OXYDEMETONMETHYL","(D)"
"114",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","PERMETHRIN","9.9000000000000005E-2"
"115",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","THIAMETHOXAM","(D)"
"116",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","ZETACYPERMETHRIN","4.9000000000000002E-2"
"117",2016,"CAULIFLOWER","CAULIFLOWER - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG","PROGRAM STATES","REGION : MULTI-STATE","RESTRICTED USE CHEMICAL","INSECTICIDE","BETACYFLUTHRIN","(D)"
